ID#,Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award?,KMeans_Cluster,DBSCAN_Cluster
504,21921,0,1,1,1,0,0,0,0,7939,0,1,0
507,86112,0,4,1,1,35528,22,0,0,8105,0,0,-1
508,18328,0,1,1,1,0,0,0,0,6790,0,1,0
510,11504,0,1,1,1,100,1,0,0,6675,0,1,0
512,160703,0,4,1,1,32560,12,0,0,6666,0,0,3
513,910,0,1,1,1,5172,13,0,0,6662,1,1,0
514,94105,0,1,1,1,100,1,0,0,6676,0,1,0
515,18422,0,1,1,1,3297,13,0,0,6653,0,1,0
519,26149,0,1,1,1,5190,6,0,0,6646,0,1,0
520,76933,0,4,1,1,28075,17,0,0,6646,0,0,3
522,22878,0,1,1,1,9039,32,0,0,6641,1,0,-1
524,134060,0,4,1,1,46606,13,0,0,6637,0,0,-1
526,28930,0,1,1,1,8185,17,0,0,6630,0,1,0
529,25395,0,1,1,1,2000,1,0,0,6624,0,1,0
530,109248,0,1,1,1,6828,11,0,0,6618,1,1,0
531,43387,0,1,1,1,4942,13,0,0,6613,0,1,0
532,52423,0,4,1,1,26926,13,0,0,6611,1,0,3
534,5410,0,4,1,1,45890,22,0,0,6603,1,0,-1
535,18177,0,3,1,1,12040,12,0,0,6690,1,0,2
539,16648,0,1,1,1,625,4,0,0,6588,0,1,0
541,31478,0,3,1,1,18885,18,0,0,6578,1,0,2
543,49052,0,4,1,1,46718,17,0,0,6575,1,0,3
544,21689,0,1,1,1,0,0,0,0,6570,0,1,0
545,18302,0,1,1,1,2197,10,0,0,6569,0,1,0
546,26220,0,1,1,1,2775,11,0,0,6647,0,1,0
547,59552,0,1,1,1,7551,22,0,0,6473,1,0,-1
548,34962,0,1,1,1,252,3,0,0,6208,0,1,0
549,16153,0,1,1,1,180,1,0,0,6491,0,1,0
551,202636,0,1,1,1,19000,5,0,0,6119,1,0,-1
553,63311,0,4,1,1,25048,14,0,0,6634,1,0,3
556,122700,0,3,1,1,18604,13,0,0,6556,0,0,2
558,13873,0,1,1,1,4833,20,0,0,6519,0,1,0
559,148,0,1,1,1,190,2,0,0,6507,0,1,0
560,178919,0,3,1,1,23387,17,0,0,6555,1,0,-1
562,19702,0,1,1,1,3000,1,0,0,6554,1,1,0
563,18820,0,1,1,1,0,0,0,0,6549,0,1,0
566,4528,0,1,1,1,290,1,0,0,6565,0,1,0
567,40418,0,3,1,1,12678,12,0,0,6541,1,0,2
570,71235,0,4,1,1,41004,14,0,0,6535,0,0,3
574,35738,0,4,1,1,41264,16,0,0,6526,1,0,3
575,313,0,1,1,1,1600,1,0,0,6525,0,1,0
576,55703,0,1,1,1,0,0,0,0,6520,0,1,0
577,11613,0,1,1,1,2000,1,0,0,6519,1,1,0
578,65672,0,4,1,1,29089,13,0,0,6529,0,0,3
579,84785,0,1,1,1,4570,14,0,0,6514,0,1,0
582,51830,0,1,1,1,0,0,0,0,6507,0,1,0
584,3294,0,1,1,1,1330,2,0,0,6498,0,1,0
586,8250,0,1,1,1,250,2,0,0,6486,0,1,0
589,58421,0,1,1,1,1000,1,0,0,6532,0,1,0
590,33443,0,1,1,1,0,0,0,0,6476,0,1,0
591,13886,0,1,1,1,0,0,0,0,6465,0,1,0
592,15349,0,1,1,1,250,2,0,0,6457,0,1,0
593,78712,0,1,1,1,0,0,0,0,6433,0,1,0
594,89742,0,4,1,1,39073,13,0,0,6498,0,0,3
595,31311,0,1,1,1,3961,10,0,0,6494,0,1,0
597,136161,0,1,1,1,6032,15,0,0,6463,0,0,-1
599,9998,0,1,1,1,0,0,0,0,6448,0,1,0
600,37904,0,3,1,1,19052,17,0,0,6487,1,0,2
603,5351,0,1,1,1,100,1,0,0,6450,0,1,0
604,23334,0,1,1,1,0,0,0,0,6441,0,1,0
605,11255,0,1,1,1,0,0,0,0,6428,0,1,0
606,48127,0,4,1,1,41447,28,0,0,6421,1,0,-1
608,158895,0,4,1,1,41954,15,0,0,6525,0,0,3
609,34540,0,4,1,1,27882,13,0,0,6494,0,0,3
611,126409,0,4,1,1,28460,13,0,0,6478,0,0,3
612,112843,0,3,1,1,16137,14,0,0,6472,1,0,2
614,7216,0,3,1,1,21419,18,0,0,6470,1,0,2
615,26412,0,1,1,1,5086,2,0,0,6552,0,1,0
617,1846,0,1,1,1,450,1,0,0,6471,0,1,0
618,45830,0,2,1,1,23404,10,0,0,6459,0,0,-1
621,39601,0,1,1,1,3733,9,0,0,6450,1,1,0
622,46142,0,3,1,1,14445,13,0,0,6452,1,0,2
625,122928,0,3,1,1,12211,14,0,0,6443,0,0,2
629,29861,0,4,1,1,28190,15,0,0,6407,1,0,3
630,126148,0,2,1,1,6273,8,0,0,6435,0,0,-1
635,67615,0,3,1,1,14168,13,0,0,6413,0,0,2
640,18111,0,1,1,1,4625,26,0,0,6463,0,1,-1
641,41526,0,1,1,1,0,0,0,0,6406,0,1,0
642,38021,0,1,1,1,5538,9,0,0,6407,0,1,0
643,17500,0,1,1,1,0,0,0,0,6400,0,1,0
644,5906,0,1,1,1,280,1,0,0,6395,0,1,0
645,70133,0,2,1,1,7396,16,0,0,6392,0,0,1
647,82605,0,3,1,1,23049,15,0,0,6417,0,0,2
649,15219,0,1,1,1,0,0,0,0,6427,1,1,0
650,54889,0,2,1,1,13150,4,0,0,6438,0,1,1
653,10484,0,1,1,1,0,0,0,0,6375,0,1,0
654,15496,0,1,1,1,0,0,0,0,6324,0,1,0
655,16714,0,1,1,1,0,0,0,0,6214,0,1,0
656,25835,0,3,1,1,15153,15,0,0,6142,1,0,2
657,3487,0,1,1,1,710,1,0,0,6059,0,1,0
664,25685,0,1,1,1,185,3,0,0,6382,0,1,0
665,50500,0,1,1,1,4765,14,0,0,6380,0,1,0
666,97486,0,3,1,1,22707,15,0,0,6387,0,0,2
668,11821,0,1,1,1,10697,10,0,0,6387,1,1,0
669,37039,0,4,1,1,29976,18,0,0,6375,0,0,3
670,28306,0,1,1,1,233,3,0,0,6371,0,1,0
675,104824,0,3,1,1,14582,15,0,0,6366,0,0,2
676,16061,0,1,1,1,2750,11,0,0,6366,0,1,0
677,55237,0,2,1,1,5547,14,0,0,6358,0,0,1
681,18661,0,1,1,1,0,0,0,0,6352,0,1,0
682,89668,0,4,1,1,29130,14,0,0,6350,0,0,3
687,9601,0,3,1,1,20467,16,0,0,6338,1,0,2
690,9483,0,1,1,1,1000,1,0,0,6340,0,1,0
694,37381,0,1,1,1,6091,16,0,0,6332,0,1,0
698,79479,0,3,1,1,23167,13,0,0,6118,0,0,2
700,20162,0,1,1,1,2750,15,0,0,6324,0,1,0
701,105683,0,4,1,1,28386,17,0,0,6361,0,0,3
705,57909,0,1,1,1,5150,4,0,0,6323,0,1,0
706,17949,0,1,1,1,0,0,0,0,6312,0,1,0
708,71543,0,1,1,1,0,0,0,0,6305,0,1,0
709,111897,0,3,1,1,14728,14,0,0,6310,0,0,2
710,61598,0,1,1,1,0,0,0,0,6311,0,1,0
713,32774,0,1,1,1,0,0,0,0,6304,1,1,0
717,30973,0,1,1,1,0,0,0,0,6298,0,1,0
719,16803,0,1,1,1,1287,6,0,0,6291,0,1,0
721,48161,0,4,1,1,41174,24,0,0,6294,1,0,-1
722,21616,0,1,1,1,0,0,0,0,6291,0,1,0
723,13114,0,2,1,1,14029,13,0,0,6289,1,1,1
725,52987,0,3,1,1,17510,15,0,0,6289,0,0,2
727,19002,0,3,1,1,22675,21,0,0,6277,1,0,2
730,65466,0,2,1,1,5488,13,0,0,6280,0,0,1
731,64280,0,3,1,1,21721,18,0,0,6280,1,0,2
732,14523,0,1,1,1,4197,4,0,0,6276,1,1,0
734,9157,0,1,1,1,75,2,0,0,6274,0,1,0
737,40567,0,3,1,1,18122,16,0,0,6268,0,0,2
738,43090,0,3,1,1,11411,10,0,0,6259,0,0,2
739,1875,0,1,1,1,1250,3,0,0,6266,0,1,0
740,126555,0,4,1,1,41253,19,0,0,6280,1,0,3
741,16472,0,4,1,1,45517,12,0,0,6262,1,0,-1
742,21270,0,1,1,1,318,10,0,0,6256,0,1,0
743,33410,0,1,1,1,818,12,0,0,6255,0,1,0
744,15750,0,1,1,1,1065,3,0,0,6254,1,1,0
745,104665,0,2,1,1,9547,12,0,0,6249,0,0,1
747,41967,0,1,1,1,2125,10,0,0,6247,0,1,0
750,127693,0,3,1,1,17383,15,0,0,6246,1,0,2
751,52050,0,4,1,1,43190,14,0,0,6245,1,0,3
752,37162,0,1,1,1,0,0,0,0,6241,0,1,0
758,11820,0,1,1,1,2045,5,0,0,6227,0,1,0
759,20810,0,1,1,1,1713,13,0,0,6225,0,1,0
761,96477,0,1,1,1,2987,13,0,0,6221,1,1,0
763,33374,0,3,1,1,20441,13,0,0,6214,1,0,2
765,26740,0,1,1,1,619,7,0,0,6213,0,1,0
767,76737,0,4,1,1,34648,31,0,0,6211,0,0,-1
768,20999,0,3,1,1,15914,13,0,0,6206,1,0,2
769,43179,0,3,1,1,11915,6,0,0,6214,1,0,2
770,119214,0,2,1,1,10028,16,0,0,6205,1,0,1
771,14988,0,1,1,1,2100,10,0,0,6203,0,1,0
772,21334,0,1,1,1,5472,20,0,0,6200,0,1,0
776,14662,0,1,1,1,1110,12,0,0,6197,0,1,0
777,13144,0,3,1,1,18615,18,0,0,6196,1,0,2
778,10978,0,3,1,1,14313,11,0,0,6193,1,0,2
780,18035,0,1,1,1,811,2,0,0,6193,0,1,0
781,194604,0,2,1,1,6606,10,0,0,6190,0,0,-1
783,32356,0,3,1,1,22918,19,0,0,6571,0,0,2
785,23431,0,1,1,1,3546,10,0,0,6182,0,1,0
786,37773,0,2,1,1,8436,15,0,0,6179,1,0,1
789,15088,0,1,1,1,5625,15,0,0,6177,1,1,0
792,15064,0,1,1,1,2910,9,0,0,6171,1,1,0
793,19032,0,1,1,1,2375,12,0,0,6169,0,1,0
794,66434,0,3,1,1,13041,13,0,0,6230,0,0,2
795,146097,0,2,1,1,6919,16,0,0,6165,0,0,-1
796,8207,0,1,1,1,1750,7,0,0,6184,0,1,0
798,147472,0,3,1,1,20645,16,0,0,6163,1,0,2
801,102339,0,4,1,1,47498,19,0,0,6156,0,0,-1
802,149167,0,4,1,1,48521,13,0,0,6155,0,0,-1
803,105249,0,4,1,1,36093,15,0,0,6153,1,0,3
805,70391,0,1,1,1,6000,4,0,0,6150,1,1,0
806,74645,0,4,1,1,40367,18,0,0,6147,1,0,3
807,26939,0,4,1,1,29264,15,0,0,6148,1,0,3
809,7421,0,1,1,1,0,0,0,0,6142,1,1,0
811,17599,0,1,1,1,100,1,0,0,6029,0,1,0
812,5594,0,1,1,1,370,1,0,0,5835,0,1,0
813,66122,0,3,1,1,11756,13,0,0,5630,1,0,2
814,12024,0,1,1,1,0,0,0,0,5119,0,1,0
818,59546,0,3,1,1,20730,4,0,0,6135,0,0,2
819,1258,0,1,1,1,475,4,0,0,6134,0,1,0
823,97349,0,4,1,1,42774,14,0,0,6128,0,0,3
825,24011,0,2,1,1,20442,9,0,0,6123,1,0,-1
826,64538,0,1,1,1,0,0,0,0,6123,0,1,0
827,3832,0,1,1,1,1000,1,0,0,6120,0,1,0
829,36790,0,1,1,1,7158,14,0,0,6133,0,1,0
831,179382,0,1,1,1,4225,7,0,0,6115,0,0,-1
834,54265,0,1,1,1,0,0,0,0,6109,0,1,0
835,69959,0,3,1,1,16504,13,0,0,6108,0,0,2
837,48321,0,1,1,1,0,0,0,0,6102,0,1,0
841,75413,0,4,1,1,31726,18,0,0,6094,0,0,3
844,18932,0,3,1,1,24660,22,0,0,6091,1,0,2
846,136664,0,4,1,1,36024,15,0,0,6086,0,0,3
847,173191,0,4,1,1,31503,13,0,0,6084,1,0,3
848,16528,0,1,1,1,250,2,0,0,6081,0,1,0
851,144171,0,4,1,1,33200,15,0,0,6073,0,0,3
853,144973,0,3,1,1,23703,14,0,0,6280,0,0,2
855,96387,0,4,1,1,43512,20,0,0,6065,1,0,3
857,44307,0,2,1,1,7944,8,0,0,6060,0,1,1
859,20126,0,1,1,1,0,0,0,0,6053,0,1,0
863,6371,0,1,1,1,1404,8,0,0,5905,0,1,0
864,95595,0,3,1,1,12060,14,0,0,5877,0,0,2
865,51843,0,4,1,1,40997,17,0,0,5859,0,0,3
866,84868,0,4,1,1,33187,15,0,0,6057,0,0,3
868,58620,0,1,1,1,2125,10,0,0,6051,0,1,0
